	206615	206646	206648	206647	206659	206660	206667	206671	206672	206673	206700	206757	206758	206702	206701	206708	206709	206746	206747	206720	206721	206724	206728	206727	206734	206733	206750	206751	206756	206755	206767	206766	206768	224327	224328	206536	206538	206534	215050	215023	206548	206547	206562	206561	206564	206563	206570	206569	215067	206604	206605	206608	206609	215085	215084	214995	214994	215075	215076	219633	219634	219638	219653	219654	219693	219668	219675	219676	219691	206657	206658	206704	206703	206753	206752	206711	206710	206719	206718	206726	206725	206730	206729	206739	206738	206741	206740	206742	206743	224324	224323	215003	215008	215007	215010	215009	215048	215056	215055	215058	215057	215074	215077	222170	222171	224844	224845	219652	219651	219656	219655	219657	206622	206630	206629	206635	206644	206643	206670	206676	206675	206677	206678	206684	206683	206713	206712	206732	206731	206754	206762	206761	206770	224330	224325	224326	206571	206603	206572	215061	215062	215080	219643	219644	219646	219645	219670	219669	Kingdom	Phylum	Class	Order	Family	Genus	Species
seq1	1717	784	2916	1588	0	0	4214	1	0	0	0	0	0	0	24	3285	4953	0	4974	0	0	1304	0	0	0	0	0	0	0	0	0	0	0	2451	2463	0	0	0	0	0	17	0	0	0	0	975	0	1166	392	928	1021	0	2478	1501	0	0	0	4745	4302	150	128	0	447	251	353	0	648	0	0	0	432	1267	0	1603	0	2345	0	0	0	0	2941	0	0	0	0	1650	0	1460	0	0	2214	1245	2668	3164	803	907	0	0	2735	0	1769	0	0	0	0	738	0	533	508	0	0	0	0	0	0	0	0	0	0	84	0	1268	2290	0	1503	0	0	147	0	2526	0	0	0	4015	1360	1032	4056	3977	0	99	70	0	0	224	0	0	108	0	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	vulgatus
seq2	0	0	0	0	599	810	0	0	0	2880	0	4875	4413	17	0	0	0	4181	0	1144	1029	0	765	1094	0	3	1569	1549	3031	2381	2393	2943	0	0	0	7	0	0	1204	205	0	0	1063	1013	658	0	829	0	0	0	0	2550	0	0	1964	0	0	0	0	0	0	598	0	0	0	0	0	316	0	493	0	0	2721	0	1585	0	2533	4	0	3784	0	21	9	0	0	0	1479	0	1520	2887	0	0	0	0	0	0	1434	1240	0	725	0	0	0	0	0	0	1372	0	0	459	265	0	0	2072	715	651	0	0	3	0	115	0	0	1662	0	0	0	0	162	0	3533	5405	2856	0	0	0	0	0	2765	0	0	471	484	0	1468	2268	0	60	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	vulgatus
seq3	0	412	0	0	0	4	0	0	0	427	2	6	0	0	0	2322	1955	2163	2280	233	115	29	3362	2722	79	45	515	589	377	516	606	804	0	1344	1224	146	98	111	699	13	0	0	914	466	764	1378	245	158	476	819	1442	1227	813	97	190	7	1	1972	1724	1148	700	1440	1315	1557	533	0	0	0	1151	247	497	465	287	1010	1023	1591	2162	1699	1825	2003	2750	0	0	1352	1336	668	1157	729	284	931	1320	413	696	1015	967	595	281	224	178	250	336	18	35	141	339	1902	2083	811	693	203	192	0	357	366	501	1665	0	0	450	568	318	1308	761	665	701	263	226	284	437	565	5	0	1179	593	241	285	546	803	345	365	392	139	762	0	0	0	1220	1301	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium	
seq4	238	1006	0	0	0	0	67	2682	1984	0	0	0	0	16	15	87	282	32	51	1428	1419	368	0	0	4655	5290	145	94	28	20	1778	2148	31	1412	1781	3407	2724	3288	1439	3578	0	0	24	21	108	150	6	13	0	576	1178	0	0	0	0	1169	1330	6	0	0	0	0	1275	479	22	0	1061	1091	183	110	47	42	44	0	0	19	20	0	0	0	0	1948	256	36	56	22	12	0	0	0	21	321	1228	1260	1008	1415	0	0	0	0	0	0	0	0	0	0	0	8	26	1298	587	0	0	0	25	736	0	0	2674	6	0	0	0	0	0	3690	3508	0	0	0	0	4	170	0	0	0	0	0	0	0	0	423	128	317	146	222	96	125	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	
seq5	95	66	12	1	122	102	34	1168	2127	0	1980	200	170	9140	6427	10	17	39	12	98	21	5080	0	0	846	421	142	112	35	14	818	224	35	1063	858	536	469	410	320	654	1904	2559	14	18	142	7	0	0	2	563	346	72	72	11	112	3	14	3	5	5	12	0	162	103	17	243	30	38	413	2	5	108	94	4	2	3	0	8	0	59	102	3988	2640	9	21	1	8	13	12	530	471	69	217	131	12	7	29	470	606	13	6	25	4	0	12	222	76	0	2	7	0	917	0	42	109	26	111	106	1	23	50	513	280	1	10	4	9	7	0	28	359	338	29	20	430	473	8	0	31	1309	1489	792	4	0	0	0	3	2	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Escherichia/Shigella	
seq6	0	414	25	8	0	0	208	0	0	36	0	0	0	4	8	24	25	6	8	432	351	235	114	83	655	818	53	54	259	377	0	7	0	107	55	0	0	0	395	2400	0	0	148	108	97	133	65	54	18	0	0	0	0	0	0	0	0	73	54	106	93	24	660	1071	3036	0	454	750	11	183	279	0	0	90	101	7	20	31	41	21	39	10	8	122	133	49	70	99	69	9	6	36	0	0	136	147	46	5	0	191	222	28	39	109	199	174	240	89	99	1007	2138	0	0	20	36	1085	9	0	281	154	201	0	21	269	214	0	8	316	318	28	144	127	40	0	397	409	0	0	0	128	98	314	134	113	3571	2292	49	35	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium	CM04-06
seq7	61	413	844	623	0	0	0	0	0	269	0	0	0	0	0	51	49	0	0	249	222	0	67	59	0	7	282	296	38	53	220	367	40	48	21	16	27	27	183	11	0	0	647	717	375	404	300	376	225	291	374	89	59	0	0	0	0	388	297	656	81	59	0	0	0	0	0	0	0	342	491	122	94	627	445	0	0	268	122	0	0	0	0	438	596	117	104	0	0	41	40	162	0	0	227	225	194	0	0	228	306	31	39	0	0	477	802	729	572	521	700	0	651	198	125	562	0	0	0	114	164	29	82	765	1161	32	21	428	568	152	0	0	116	64	210	235	0	0	0	118	113	36	566	561	0	0	322	376	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium	prausnitzii
seq8	0	0	227	716	0	0	0	0	0	0	0	0	0	0	0	274	96	107	117	66	47	0	389	331	144	268	202	230	552	767	0	0	0	136	160	199	243	332	0	0	0	0	0	0	0	0	23	16	31	227	223	25	0	25	0	0	0	82	420	1323	910	290	0	0	0	0	557	836	290	33	29	53	0	30	0	331	271	158	161	256	236	108	24	42	59	27	28	14	11	273	508	28	51	93	107	60	22	653	338	81	56	380	127	7	17	23	27	0	45	23	0	0	0	0	0	21	481	263	0	30	0	1255	1232	0	50	175	483	16	33	55	1066	718	0	0	0	24	0	0	0	42	26	73	65	0	0	0	70	40	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
seq9	0	0	158	0	108	235	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	478	415	0	2	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	257	282	441	0	0	0	0	0	0	0	0	0	0	152	69	194	0	0	0	0	0	0	0	545	197	0	0	4	0	0	0	3619	3980	0	0	0	0	0	5	989	1589	0	3	0	0	0	0	0	363	528	0	0	0	175	304	0	0	1690	1391	752	404	0	0	0	0	0	0	0	0	0	0	0	0	188	335	0	0	0	0	0	0	135	179	301	0	0	0	189	488	192	0	0	0	153	97	17	0	0	0	0	0	0	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	massiliensis
