Feature ID	Taxon
seq1	Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides; vulgatus
seq2	Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides; vulgatus
seq3	Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Faecalibacterium; none
seq4	Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides; none
seq5	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Escherichia/Shigella; none
seq6	Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Faecalibacterium; CM04-06
seq7	Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Faecalibacterium; prausnitzii
seq8	Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; none; none
seq9	Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides; massiliensis
seq10	Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; none; none
seq11	Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Roseburia; inulinivorans
seq12	Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides; none
seq13	Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides; none
seq14	Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; none; none
seq15	Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Dorea; longicatena
seq16	Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Anaerostipes; hadrus
seq17	Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides; none
seq18	Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Agathobacter; none
seq19	Bacteria; Firmicutes; Negativicutes; Selenomonadales; Veillonellaceae; Dialister; invisus
seq20	Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides; caccae
seq21	Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides; none
seq22	Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Blautia; none
seq23	Bacteria; Verrucomicrobia; Verrucomicrobiae; Verrucomicrobiales; Akkermansiaceae; Akkermansia; muciniphila
seq24	Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Tannerellaceae; Parabacteroides; merdae
seq25	Bacteria; Proteobacteria; Gammaproteobacteria; Pasteurellales; Pasteurellaceae; Haemophilus; none
seq26	Bacteria; Proteobacteria; Gammaproteobacteria; Betaproteobacteriales; Burkholderiaceae; Sutterella; wadsworthensis
seq27	Bacteria; Proteobacteria; Gammaproteobacteria; Betaproteobacteriales; Burkholderiaceae; Parasutterella; excrementihominis
seq28	Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Rikenellaceae; Alistipes; putredinis
seq29	Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Fusicatenibacter; saccharivorans
seq30	Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; none; none
seq31	Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides; none
seq32	Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides; uniformis
seq33	Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Lachnoclostridium; none
seq34	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; none; none
seq35	Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Subdoligranulum; none
seq36	Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Prevotellaceae; Prevotella_9; none
seq37	Bacteria; Firmicutes; Negativicutes; Selenomonadales; Veillonellaceae; Veillonella; none
seq38	Bacteria; Proteobacteria; Deltaproteobacteria; Desulfovibrionales; Desulfovibrionaceae; Bilophila; wadsworthia
seq39	Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; none; none
seq40	Bacteria; Firmicutes; Erysipelotrichia; Erysipelotrichales; Erysipelotrichaceae; Erysipelotrichaceae_UCG-003; none
seq41	Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Subdoligranulum; none
seq42	Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Lachnoclostridium; none
seq43	Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; none; none
seq44	Bacteria; Proteobacteria; Gammaproteobacteria; Betaproteobacteriales; Burkholderiaceae; Sutterella; none
seq45	Bacteria; Proteobacteria; Gammaproteobacteria; Betaproteobacteriales; Burkholderiaceae; Sutterella; wadsworthensis
seq46	Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Lachnospiraceae_UCG-004; none
seq47	Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; none; none
seq48	Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Prevotellaceae; Prevotella_7; none
seq49	Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; none; none
seq50	Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Dorea; formicigenerans
seq51	Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Coprococcus_3; comes
seq52	Bacteria; Firmicutes; Negativicutes; Selenomonadales; Veillonellaceae; Megasphaera; massiliensis
seq53	Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; none; none
seq54	Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Flavonifractor; plautii
seq55	Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Faecalibacterium; none
seq56	Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Lachnoclostridium; none
seq57	Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Blautia; obeum
seq58	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; none; none; none
seq59	Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides; vulgatus
seq60	Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Agathobacter; none
seq61	Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Faecalibacterium; prausnitzii
seq62	Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; none
seq63	Bacteria; Fusobacteria; Fusobacteriia; Fusobacteriales; Fusobacteriaceae; Fusobacterium; none
seq64	Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Blautia; massiliensis
seq65	Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides; none
seq66	Bacteria; Firmicutes; Negativicutes; Selenomonadales; Acidaminococcaceae; Phascolarctobacterium; faecium
seq67	Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; none; none
