Sample	Top over-represented sequence	Sum of remaining over-represented sequences
HMP.2.206534_R1	33.43361986628462	57.363896848137536
HMP.2.206534_R2	26.80515759312321	57.76504297994262
HMP.2.206536_R1	33.59121741262361	56.901577269879354
HMP.2.206536_R2	25.73755754719551	58.36170966248059
HMP.2.206538_R1	27.374862072424516	64.74069615809009
HMP.2.206538_R2	22.434547095997594	64.57518306750936
HMP.2.206547_R1	25.65357024942222	64.98484257286071
HMP.2.206547_R2	20.446018549089054	66.73169853228083
HMP.2.206548_R1	27.206237911025145	63.3341392649903
HMP.2.206548_R2	20.230899419729205	66.34429400386844
HMP.2.206561_R1	18.704958005960446	72.40314277973448
HMP.2.206561_R2	14.608507179626118	71.81793551882959
HMP.2.206562_R1	17.977763792741765	71.82714495489827
HMP.2.206562_R2	17.579190266414933	67.49078486019954
HMP.2.206563_R1	18.126498248202104	69.92439609072468
HMP.2.206563_R2	17.628618845657385	65.77013250441243
HMP.2.206564_R1	53.09466490642231	38.51052263726025
HMP.2.206564_R2	50.741632367787524	37.04278946959692
HMP.2.206569_R1	16.24117534821599	73.32188513642436
HMP.2.206569_R2	14.485785155504674	69.95229917954588
HMP.2.206570_R1	12.963756047267823	75.64438099770005
HMP.2.206570_R2	12.381632167499406	70.87635815687209
HMP.2.206571_R1	46.82151589242054	45.34825402796064
HMP.2.206571_R2	40.41752868158736	46.61463231145384
HMP.2.206572_R1	33.50934956824253	57.68776790706343
HMP.2.206572_R2	30.713797602037644	56.36453997639312
HMP.2.206603_R1	44.30631437527989	47.72592924317063
HMP.2.206603_R2	38.959247648902824	48.61083743842362
HMP.2.206604_R1	16.537102473498233	74.2226148409894
HMP.2.206604_R2	14.823321554770319	69.92932862190817
HMP.2.206605_R1	22.982450253347203	68.92050602328783
HMP.2.206605_R2	20.559712761316735	66.29307741350962
HMP.2.206608_R1	37.75752886902203	52.302358233760266
HMP.2.206608_R2	26.078111120662484	58.61199461302617
HMP.2.206609_R1	34.48739108739877	55.75173684412541
HMP.2.206609_R2	24.093194641691937	61.770237592599685
HMP.2.206614_R1	49.7337227280536	41.19567084693352
HMP.2.206614_R2	46.32365572925614	38.781996220580616
HMP.2.206615_R1	35.65687237652943	55.0861837992319
HMP.2.206615_R2	33.78583549164954	52.768598731803145
HMP.2.206616_R1	18.478260869565215	81.52173913043455
HMP.2.206616_R2	17.391304347826086	82.60869565217345
HMP.2.206617_R1	54.875542361269694	36.4352591915963
HMP.2.206617_R2	51.25599451929664	36.378168531628255
HMP.2.206618_R1	35.46457281734904	56.21611516171248
HMP.2.206618_R2	32.86595625350533	53.823144512993096
HMP.2.206619_R1	33.90890550645819	57.063222297756646
HMP.2.206619_R2	20.747790618626784	67.36913664174031
HMP.2.206620_R1	22.151898734177212	77.84810126582317
HMP.2.206620_R2	19.303797468354432	80.69620253164624
HMP.2.206621_R1	14.507772020725387	85.49222797927476
HMP.2.206621_R2	11.398963730569948	88.6010362694302
HMP.2.206622_R1	44.196543719370645	46.511477946866115
HMP.2.206622_R2	23.903791591436676	61.34898117100849
HMP.2.206623_R1	34.232715008431704	65.76728499156866
HMP.2.206623_R2	18.54974704890388	81.45025295109652
HMP.2.206624_R1	8.953669963560646	84.95575221238944
HMP.2.206624_R2	6.559083810515356	81.67621030713175
HMP.2.206625_R1	46.917982679572084	45.79724910850734
HMP.2.206625_R2	37.54457463066734	50.02547121752417
HMP.2.206626_R1	32.48677248677249	67.51322751322718
HMP.2.206626_R2	30.476190476190478	69.52380952380898
