Sample	Duplicate Reads	Unique Reads
HMP.2.206534_R1	40346.0	1534.0
HMP.2.206534_R2	38582.0	3298.0
HMP.2.206536_R1	35302.0	1407.0
HMP.2.206536_R2	33739.0	2970.0
HMP.2.206538_R1	19057.0	881.0
HMP.2.206538_R2	18289.0	1649.0
HMP.2.206547_R1	32001.0	1316.0
HMP.2.206547_R2	30882.0	2435.0
HMP.2.206548_R1	15757.0	787.0
HMP.2.206548_R2	15122.0	1422.0
HMP.2.206561_R1	17559.0	896.0
HMP.2.206561_R2	16765.0	1690.0
HMP.2.206562_R1	31915.0	1454.0
HMP.2.206562_R2	30631.0	2738.0
HMP.2.206563_R1	36242.0	1719.0
HMP.2.206563_R2	34830.0	3131.0
HMP.2.206564_R1	12298.0	579.0
HMP.2.206564_R2	11821.0	1056.0
HMP.2.206569_R1	50317.0	2093.0
HMP.2.206569_R2	48693.0	3717.0
HMP.2.206570_R1	60497.0	2548.0
HMP.2.206570_R2	58289.0	4756.0
HMP.2.206571_R1	30981.0	921.0
HMP.2.206571_R2	29711.0	2191.0
HMP.2.206572_R1	31197.0	997.0
HMP.2.206572_R2	30039.0	2155.0
HMP.2.206603_R1	54480.0	1345.0
HMP.2.206603_R2	52779.0	3046.0
HMP.2.206604_R1	21599.0	1041.0
HMP.2.206604_R2	20513.0	2127.0
HMP.2.206605_R1	28778.0	1023.0
HMP.2.206605_R2	27775.0	2026.0
HMP.2.206608_R1	33531.0	1368.0
HMP.2.206608_R2	31918.0	2981.0
HMP.2.206609_R1	24916.0	1137.0
HMP.2.206609_R2	23871.0	2182.0
HMP.2.206614_R1	11005.0	637.0
HMP.2.206614_R2	10429.0	1213.0
HMP.2.206615_R1	21551.0	843.0
HMP.2.206615_R2	20816.0	1578.0
HMP.2.206616_R1	219.0	57.0
HMP.2.206616_R2	192.0	84.0
HMP.2.206617_R1	8283.0	475.0
HMP.2.206617_R2	7975.0	783.0
HMP.2.206618_R1	5015.0	334.0
HMP.2.206618_R2	4750.0	599.0
HMP.2.206619_R1	6937.0	418.0
HMP.2.206619_R2	6645.0	710.0
HMP.2.206620_R1	243.0	73.0
HMP.2.206620_R2	205.0	111.0
HMP.2.206621_R1	110.0	83.0
HMP.2.206621_R2	99.0	94.0
HMP.2.206622_R1	14774.0	734.0
HMP.2.206622_R2	14033.0	1475.0
HMP.2.206623_R1	481.0	112.0
HMP.2.206623_R2	466.0	127.0
HMP.2.206624_R1	1736.0	185.0
HMP.2.206624_R2	1606.0	315.0
HMP.2.206625_R1	3665.0	261.0
HMP.2.206625_R2	3475.0	451.0
HMP.2.206626_R1	836.0	109.0
HMP.2.206626_R2	787.0	158.0
HMP.2.206627_R1	123.0	40.0
HMP.2.206627_R2	113.0	50.0
HMP.2.206628_R1	2672.0	250.0
HMP.2.206628_R2	2535.0	387.0
HMP.2.206629_R1	15921.0	954.0
HMP.2.206629_R2	15020.0	1855.0
HMP.2.206630_R1	19776.0	1068.0
HMP.2.206630_R2	18722.0	2122.0
HMP.2.206635_R1	50856.0	1663.0
HMP.2.206635_R2	49640.0	2879.0
HMP.2.206636_R1	1139.0	166.0
HMP.2.206636_R2	1087.0	218.0
HMP.2.206643_R1	42256.0	1354.0
HMP.2.206643_R2	40282.0	3328.0
HMP.2.206644_R1	19657.0	828.0
HMP.2.206644_R2	18020.0	2465.0
HMP.2.206645_R1	2370.0	225.0
HMP.2.206645_R2	2245.0	350.0
HMP.2.206646_R1	54106.0	2168.0
HMP.2.206646_R2	50485.0	5789.0
HMP.2.206647_R1	53677.0	2028.0
