Sample	Discarded pairs	Combined outie pairs	Combined innie pairs	Uncombined pairs
206534_merged	0.0	1209.0	40384.0	278.0
206536_merged	0.0	2390.0	34008.0	305.0
206538_merged	0.0	2309.0	17434.0	193.0
206547_merged	0.0	3151.0	29893.0	266.0
206548_merged	0.0	4005.0	12311.0	225.0
206561_merged	0.0	7.0	18302.0	142.0
206562_merged	0.0	2000.0	31176.0	184.0
206563_merged	0.0	1768.0	35979.0	210.0
206564_merged	0.0	7765.0	4940.0	171.0
206569_merged	0.0	1000.0	51158.0	246.0
206570_merged	0.0	269.0	62454.0	310.0
206571_merged	0.0	1595.0	30092.0	210.0
206572_merged	0.0	1654.0	30308.0	225.0
206603_merged	0.0	462.0	55095.0	261.0
206604_merged	0.0	2073.0	20362.0	199.0
206605_merged	0.0	592.0	29057.0	146.0
206608_merged	0.0	2410.0	32179.0	306.0
206609_merged	0.0	3026.0	22798.0	224.0
206614_merged	0.0	6895.0	4472.0	270.0
206615_merged	0.0	9049.0	13175.0	166.0
206616_merged	0.0	41.0	191.0	44.0
206617_merged	0.0	5403.0	3179.0	174.0
206618_merged	0.0	2102.0	3122.0	124.0
206619_merged	0.0	872.0	6349.0	128.0
206620_merged	0.0	82.0	193.0	38.0
206621_merged	0.0	17.0	86.0	86.0
206622_merged	0.0	1268.0	14096.0	137.0
206623_merged	0.0	2.0	527.0	63.0
206624_merged	0.0	41.0	1832.0	46.0
206625_merged	0.0	267.0	3611.0	47.0
206626_merged	0.0	343.0	580.0	19.0
206627_merged	0.0	40.0	106.0	16.0
206628_merged	0.0	1934.0	874.0	113.0
206629_merged	0.0	2260.0	11971.0	2643.0
206630_merged	0.0	2726.0	16720.0	1379.0
206635_merged	0.0	545.0	51808.0	161.0
206636_merged	0.0	47.0	1206.0	51.0
206643_merged	0.0	5894.0	37417.0	292.0
206644_merged	0.0	3120.0	16916.0	441.0
206645_merged	0.0	1002.0	1551.0	42.0
206646_merged	0.0	833.0	54933.0	498.0
206647_merged	0.0	2152.0	53134.0	415.0
206648_merged	0.0	5438.0	40428.0	299.0
206655_merged	0.0	6307.0	4952.0	197.0
206656_merged	0.0	623.0	3718.0	135.0
206657_merged	0.0	253.0	52053.0	296.0
206658_merged	0.0	3205.0	37829.0	1001.0
206659_merged	0.0	4044.0	31765.0	502.0
206660_merged	0.0	594.0	52904.0	522.0
206667_merged	0.0	1704.0	24861.0	217.0
206668_merged	0.0	1548.0	1545.0	60.0
206669_merged	0.0	75.0	203.0	9.0
206670_merged	0.0	988.0	55190.0	353.0
206671_merged	0.0	3759.0	31412.0	307.0
206672_merged	0.0	5743.0	23363.0	394.0
206673_merged	0.0	3753.0	35469.0	355.0
206675_merged	0.0	12277.0	8780.0	193.0
206676_merged	0.0	8154.0	12872.0	120.0
206677_merged	0.0	5160.0	15553.0	235.0
206678_merged	0.0	9011.0	18758.0	332.0
206681_merged	0.0	744.0	3698.0	59.0
206682_merged	0.0	4572.0	994.0	159.0
206683_merged	0.0	2399.0	49614.0	343.0
206684_merged	0.0	1587.0	51459.0	231.0
206695_merged	0.0	7248.0	2298.0	145.0
206700_merged	0.0	485.0	77424.0	379.0
206701_merged	0.0	10107.0	16207.0	224.0
206702_merged	0.0	3903.0	35881.0	455.0
206703_merged	0.0	69.0	45510.0	279.0
206704_merged	0.0	50.0	50550.0	659.0
206708_merged	0.0	760.0	42806.0	227.0
206709_merged	0.0	386.0	44365.0	183.0
206710_merged	0.0	87.0	47345.0	266.0
206711_merged	0.0	249.0	60379.0	306.0
206712_merged	0.0	23.0	52321.0	236.0
206713_merged	0.0	163.0	50030.0	260.0
206718_merged	0.0	11.0	37347.0	148.0
206719_merged	0.0	54.0	49825.0	195.0
206720_merged	0.0	151.0	63768.0	284.0
206721_merged	0.0	701.0	62338.0	492.0
206723_merged	0.0	13.0	161.0	78.0
206724_merged	0.0	1909.0	54015.0	317.0
206725_merged	0.0	33.0	61878.0	269.0
206726_merged	0.0	195.0	61529.0	504.0
206727_merged	0.0	1152.0	62780.0	385.0
206728_merged	0.0	2002.0	61572.0	945.0
206729_merged	0.0	3688.0	35163.0	284.0
206730_merged	0.0	3013.0	16606.0	171.0
206731_merged	0.0	199.0	57188.0	275.0
206732_merged	0.0	1394.0	53388.0	257.0
206733_merged	0.0	111.0	65434.0	256.0
206734_merged	0.0	66.0	71279.0	346.0
206738_merged	0.0	1866.0	38688.0	263.0
206739_merged	0.0	764.0	61468.0	447.0
206740_merged	0.0	1897.0	36151.0	310.0
206741_merged	0.0	1913.0	52142.0	365.0
206742_merged	0.0	145.0	63631.0	370.0
206743_merged	0.0	2220.0	51677.0	343.0
206746_merged	0.0	399.0	56144.0	232.0
206747_merged	0.0	18.0	42698.0	112.0
206750_merged	0.0	1649.0	68273.0	430.0
206751_merged	0.0	95.0	64217.0	303.0
206752_merged	0.0	118.0	64421.0	385.0
206753_merged	0.0	301.0	64387.0	370.0
206754_merged	0.0	2556.0	54619.0	363.0
206755_merged	0.0	96.0	68483.0	425.0
206756_merged	0.0	549.0	58373.0	330.0
206757_merged	0.0	430.0	65898.0	595.0
206758_merged	0.0	390.0	70114.0	467.0
206761_merged	0.0	253.0	57601.0	437.0
206762_merged	0.0	1259.0	38601.0	334.0
206766_merged	0.0	553.0	60046.0	269.0
206767_merged	0.0	4924.0	26162.0	253.0
206768_merged	0.0	7074.0	5277.0	220.0
206769_merged	0.0	7242.0	1246.0	108.0
