Sample	overrepresented_sequences	kmer_content	Sequences flagged as poor quality	per_base_sequence_quality	basic_statistics	Total Sequences	sequence_length_distribution	total_deduplicated_percentage	File type	Encoding	%GC	per_sequence_quality_scores	adapter_content	per_base_sequence_content	avg_sequence_length	per_base_n_content	per_sequence_gc_content	per_tile_sequence_quality	sequence_duplication_levels	Filename	Sequence length
HMP.2.206534_R1	fail	fail	0.0	fail	pass	41880.0	pass	3.662846227316141	Conventional base calls	Sanger / Illumina 1.9	50.0	pass	pass	fail	250.0	pass	fail	pass	fail	HMP.2.206534_R1.fq	250.0
HMP.2.206534_R2	fail	fail	0.0	fail	pass	41880.0	pass	7.874880611270296	Conventional base calls	Sanger / Illumina 1.9	51.0	pass	pass	fail	250.0	pass	fail	warn	fail	HMP.2.206534_R2.fq	250.0
HMP.2.206536_R1	fail	fail	0.0	fail	pass	36709.0	pass	3.8328475305783325	Conventional base calls	Sanger / Illumina 1.9	50.0	pass	pass	fail	250.0	pass	fail	pass	fail	HMP.2.206536_R1.fq	250.0
HMP.2.206536_R2	fail	fail	0.0	fail	pass	36709.0	pass	8.09065896646599	Conventional base calls	Sanger / Illumina 1.9	51.0	pass	pass	fail	250.0	pass	fail	fail	fail	HMP.2.206536_R2.fq	250.0
HMP.2.206538_R1	fail	fail	0.0	fail	pass	19938.0	pass	4.418697963687431	Conventional base calls	Sanger / Illumina 1.9	50.0	pass	pass	fail	250.0	pass	fail	pass	fail	HMP.2.206538_R1.fq	250.0
HMP.2.206538_R2	fail	warn	0.0	fail	pass	19938.0	pass	8.270638980840605	Conventional base calls	Sanger / Illumina 1.9	50.0	pass	pass	fail	250.0	pass	fail	warn	fail	HMP.2.206538_R2.fq	250.0
HMP.2.206547_R1	fail	fail	0.0	fail	pass	33317.0	pass	3.9469339976588533	Conventional base calls	Sanger / Illumina 1.9	52.0	pass	pass	fail	250.0	pass	fail	pass	fail	HMP.2.206547_R1.fq	250.0
HMP.2.206547_R2	fail	fail	0.0	fail	pass	33317.0	pass	7.308581204790348	Conventional base calls	Sanger / Illumina 1.9	53.0	pass	pass	fail	250.0	pass	fail	fail	fail	HMP.2.206547_R2.fq	250.0
HMP.2.206548_R1	fail	warn	0.0	fail	pass	16544.0	pass	4.757011605415861	Conventional base calls	Sanger / Illumina 1.9	50.0	pass	pass	fail	250.0	pass	fail	pass	fail	HMP.2.206548_R1.fq	250.0
HMP.2.206548_R2	fail	fail	0.0	fail	pass	16544.0	pass	8.5892166344294	Conventional base calls	Sanger / Illumina 1.9	51.0	pass	pass	fail	250.0	pass	fail	warn	fail	HMP.2.206548_R2.fq	250.0
HMP.2.206561_R1	fail	warn	0.0	fail	pass	18455.0	pass	4.855052831211054	Conventional base calls	Sanger / Illumina 1.9	51.0	pass	pass	fail	250.0	pass	fail	warn	fail	HMP.2.206561_R1.fq	250.0
HMP.2.206561_R2	fail	warn	0.0	fail	pass	18455.0	pass	9.157409916011922	Conventional base calls	Sanger / Illumina 1.9	52.0	pass	pass	fail	250.0	pass	fail	warn	fail	HMP.2.206561_R2.fq	250.0
