Sample	perccombo	outiepairs	uncombopairs	percdiscard	inniepairs	s_name	totalpairs	combopairs	discardpairs
206534_merged	99.34	1209	278	0	40384	206534_merged	41871	41593	0
206536_merged	99.17	2390	305	0	34008	206536_merged	36703	36398	0
206538_merged	99.03	2309	193	0	17434	206538_merged	19936	19743	0
206547_merged	99.2	3151	266	0	29893	206547_merged	33310	33044	0
206548_merged	98.64	4005	225	0	12311	206548_merged	16541	16316	0
206561_merged	99.23	7	142	0	18302	206561_merged	18451	18309	0
206562_merged	99.45	2000	184	0	31176	206562_merged	33360	33176	0
206563_merged	99.45	1768	210	0	35979	206563_merged	37957	37747	0
206564_merged	98.67	7765	171	0	4940	206564_merged	12876	12705	0
206569_merged	99.53	1000	246	0	51158	206569_merged	52404	52158	0
206570_merged	99.51	269	310	0	62454	206570_merged	63033	62723	0
206571_merged	99.34	1595	210	0	30092	206571_merged	31897	31687	0
206572_merged	99.3	1654	225	0	30308	206572_merged	32187	31962	0
206603_merged	99.53	462	261	0	55095	206603_merged	55818	55557	0
206604_merged	99.12	2073	199	0	20362	206604_merged	22634	22435	0
206605_merged	99.51	592	146	0	29057	206605_merged	29795	29649	0
206608_merged	99.12	2410	306	0	32179	206608_merged	34895	34589	0
206609_merged	99.14	3026	224	0	22798	206609_merged	26048	25824	0
206614_merged	97.68	6895	270	0	4472	206614_merged	11637	11367	0
206615_merged	99.26	9049	166	0	13175	206615_merged	22390	22224	0
206616_merged	84.06	41	44	0	191	206616_merged	276	232	0
206617_merged	98.01	5403	174	0	3179	206617_merged	8756	8582	0
206618_merged	97.68	2102	124	0	3122	206618_merged	5348	5224	0
206619_merged	98.26	872	128	0	6349	206619_merged	7349	7221	0
206620_merged	87.86	82	38	0	193	206620_merged	313	275	0
206621_merged	54.5	17	86	0	86	206621_merged	189	103	0
206622_merged	99.12	1268	137	0	14096	206622_merged	15501	15364	0
206623_merged	89.36	2	63	0	527	206623_merged	592	529	0
