Sample	reverse_only_surviving	forward_only_surviving_pct	forward_only_surviving	dropped	surviving_pct	surviving	dropped_pct	reverse_only_surviving_pct	input_read_pairs
HMP.2.206534_R1	1.0	0.02	8.0	0.0	99.98	41871.0	0.0	0.0	41880.0
HMP.2.206536_R1	1.0	0.01	5.0	0.0	99.98	36703.0	0.0	0.0	36709.0
HMP.2.206538_R1	0.0	0.01	2.0	0.0	99.99	19936.0	0.0	0.0	19938.0
HMP.2.206547_R1	0.0	0.02	7.0	0.0	99.98	33310.0	0.0	0.0	33317.0
HMP.2.206548_R1	0.0	0.02	3.0	0.0	99.98	16541.0	0.0	0.0	16544.0
HMP.2.206561_R1	0.0	0.02	4.0	0.0	99.98	18451.0	0.0	0.0	18455.0
HMP.2.206562_R1	1.0	0.02	8.0	0.0	99.97	33360.0	0.0	0.0	33369.0
HMP.2.206563_R1	0.0	0.01	4.0	0.0	99.99	37957.0	0.0	0.0	37961.0
HMP.2.206564_R1	1.0	0.0	0.0	0.0	99.99	12876.0	0.0	0.01	12877.0
HMP.2.206569_R1	1.0	0.01	5.0	0.0	99.99	52404.0	0.0	0.0	52410.0
HMP.2.206570_R1	1.0	0.02	11.0	0.0	99.98	63033.0	0.0	0.0	63045.0
HMP.2.206571_R1	1.0	0.01	4.0	0.0	99.98	31897.0	0.0	0.0	31902.0
HMP.2.206572_R1	1.0	0.02	6.0	0.0	99.98	32187.0	0.0	0.0	32194.0
HMP.2.206603_R1	0.0	0.01	7.0	0.0	99.99	55818.0	0.0	0.0	55825.0
HMP.2.206604_R1	0.0	0.03	6.0	0.0	99.97	22634.0	0.0	0.0	22640.0
HMP.2.206605_R1	3.0	0.01	3.0	0.0	99.98	29795.0	0.0	0.01	29801.0
HMP.2.206608_R1	0.0	0.01	4.0	0.0	99.99	34895.0	0.0	0.0	34899.0
HMP.2.206609_R1	0.0	0.02	5.0	0.0	99.98	26048.0	0.0	0.0	26053.0
HMP.2.206614_R1	1.0	0.03	4.0	0.0	99.96	11637.0	0.0	0.01	11642.0
HMP.2.206615_R1	0.0	0.02	4.0	0.0	99.98	22390.0	0.0	0.0	22394.0
HMP.2.206616_R1	0.0	0.0	0.0	0.0	100.0	276.0	0.0	0.0	276.0
HMP.2.206617_R1	0.0	0.02	2.0	0.0	99.98	8756.0	0.0	0.0	8758.0
HMP.2.206618_R1	0.0	0.02	1.0	0.0	99.98	5348.0	0.0	0.0	5349.0
HMP.2.206619_R1	0.0	0.08	6.0	0.0	99.92	7349.0	0.0	0.0	7355.0
HMP.2.206620_R1	0.0	0.95	3.0	0.0	99.05	313.0	0.0	0.0	316.0
HMP.2.206621_R1	0.0	2.07	4.0	0.0	97.93	189.0	0.0	0.0	193.0
HMP.2.206622_R1	0.0	0.05	7.0	0.0	99.95	15501.0	0.0	0.0	15508.0
HMP.2.206623_R1	0.0	0.17	1.0	0.0	99.83	592.0	0.0	0.0	593.0
HMP.2.206624_R1	0.0	0.1	2.0	0.0	99.9	1919.0	0.0	0.0	1921.0
HMP.2.206625_R1	0.0	0.03	1.0	0.0	99.97	3925.0	0.0	0.0	3926.0
HMP.2.206626_R1	0.0	0.32	3.0	0.0	99.68	942.0	0.0	0.0	945.0
HMP.2.206627_R1	0.0	0.61	1.0	0.0	99.39	162.0	0.0	0.0	163.0
HMP.2.206628_R1	0.0	0.03	1.0	0.0	99.97	2921.0	0.0	0.0	2922.0
HMP.2.206629_R1	0.0	0.01	1.0	0.0	99.99	16874.0	0.0	0.0	16875.0
HMP.2.206630_R1	0.0	0.09	19.0	0.0	99.91	20825.0	0.0	0.0	20844.0
HMP.2.206635_R1	2.0	0.01	3.0	0.0	99.99	52514.0	0.0	0.0	52519.0
HMP.2.206636_R1	0.0	0.08	1.0	0.0	99.92	1304.0	0.0	0.0	1305.0
HMP.2.206643_R1	0.0	0.02	7.0	0.0	99.98	43603.0	0.0	0.0	43610.0
HMP.2.206644_R1	0.0	0.04	8.0	0.0	99.96	20477.0	0.0	0.0	20485.0
HMP.2.206645_R1	0.0	0.0	0.0	0.0	100.0	2595.0	0.0	0.0	2595.0
HMP.2.206646_R1	0.0	0.02	10.0	0.0	99.98	56264.0	0.0	0.0	56274.0
HMP.2.206647_R1	0.0	0.01	4.0	0.0	99.99	55701.0	0.0	0.0	55705.0
HMP.2.206648_R1	0.0	0.02	8.0	0.0	99.98	46165.0	0.0	0.0	46173.0
HMP.2.206655_R1	0.0	0.03	3.0	0.0	99.97	11456.0	0.0	0.0	11459.0
HMP.2.206656_R1	0.0	0.0	0.0	0.0	100.0	4476.0	0.0	0.0	4476.0
HMP.2.206657_R1	1.0	0.02	8.0	0.0	99.98	52602.0	0.0	0.0	52611.0
HMP.2.206658_R1	0.0	0.06	26.0	0.0	99.94	42035.0	0.0	0.0	42061.0
HMP.2.206659_R1	0.0	0.02	9.0	0.0	99.98	36311.0	0.0	0.0	36320.0
HMP.2.206660_R1	1.0	0.01	7.0	0.0	99.99	54020.0	0.0	0.0	54028.0
HMP.2.206667_R1	0.0	0.03	7.0	0.0	99.97	26782.0	0.0	0.0	26789.0
HMP.2.206668_R1	0.0	0.06	2.0	0.0	99.94	3153.0	0.0	0.0	3155.0
HMP.2.206669_R1	0.0	0.0	0.0	0.0	100.0	287.0	0.0	0.0	287.0
HMP.2.206670_R1	2.0	0.01	8.0	0.0	99.98	56531.0	0.0	0.0	56541.0
HMP.2.206671_R1	0.0	0.02	6.0	0.0	99.98	35478.0	0.0	0.0	35484.0
HMP.2.206672_R1	0.0	0.06	18.0	0.0	99.94	29500.0	0.0	0.0	29518.0
HMP.2.206673_R1	0.0	0.01	5.0	0.0	99.99	39577.0	0.0	0.0	39582.0
HMP.2.206675_R1	0.0	0.02	5.0	0.0	99.98	21250.0	0.0	0.0	21255.0
HMP.2.206676_R1	0.0	0.01	2.0	0.0	99.99	21146.0	0.0	0.0	21148.0
HMP.2.206677_R1	0.0	0.02	5.0	0.0	99.98	20948.0	0.0	0.0	20953.0
HMP.2.206678_R1	0.0	0.02	6.0	0.0	99.98	28101.0	0.0	0.0	28107.0
HMP.2.206681_R1	0.0	0.0	0.0	0.0	100.0	4501.0	0.0	0.0	4501.0
HMP.2.206682_R1	0.0	0.21	12.0	0.0	99.79	5725.0	0.0	0.0	5737.0
HMP.2.206683_R1	0.0	0.02	10.0	0.0	99.98	52356.0	0.0	0.0	52366.0
HMP.2.206684_R1	0.0	0.0	1.0	0.0	100.0	53277.0	0.0	0.0	53278.0
HMP.2.206695_R1	1.0	0.05	5.0	0.0	99.94	9691.0	0.0	0.01	9697.0
HMP.2.206700_R1	0.0	0.01	7.0	0.0	99.99	78288.0	0.0	0.0	78295.0
HMP.2.206701_R1	0.0	0.03	8.0	0.0	99.97	26538.0	0.0	0.0	26546.0
HMP.2.206702_R1	0.0	0.03	11.0	0.0	99.97	40239.0	0.0	0.0	40250.0
HMP.2.206703_R1	1.0	0.02	7.0	0.0	99.98	45858.0	0.0	0.0	45866.0
HMP.2.206704_R1	2.0	0.04	18.0	0.0	99.96	51259.0	0.0	0.0	51279.0
HMP.2.206708_R1	0.0	0.01	5.0	0.0	99.99	43793.0	0.0	0.0	43798.0
HMP.2.206709_R1	1.0	0.0	0.0	0.0	100.0	44934.0	0.0	0.0	44935.0
HMP.2.206710_R1	0.0	0.02	8.0	0.0	99.98	47698.0	0.0	0.0	47706.0
HMP.2.206711_R1	0.0	0.0	3.0	0.0	100.0	60934.0	0.0	0.0	60937.0
HMP.2.206712_R1	0.0	0.02	8.0	0.0	99.98	52580.0	0.0	0.0	52588.0
HMP.2.206713_R1	0.0	0.01	4.0	0.0	99.99	50453.0	0.0	0.0	50457.0
HMP.2.206718_R1	3.0	0.01	3.0	0.0	99.98	37506.0	0.0	0.01	37512.0
HMP.2.206719_R1	0.0	0.01	6.0	0.0	99.99	50074.0	0.0	0.0	50080.0
HMP.2.206720_R1	0.0	0.01	8.0	0.0	99.99	64203.0	0.0	0.0	64211.0
HMP.2.206721_R1	0.0	0.02	11.0	0.0	99.98	63531.0	0.0	0.0	63542.0
HMP.2.206723_R1	0.0	0.79	2.0	0.0	99.21	252.0	0.0	0.0	254.0
HMP.2.206724_R1	1.0	0.02	9.0	0.0	99.98	56241.0	0.0	0.0	56251.0
HMP.2.206725_R1	0.0	0.02	15.0	0.0	99.98	62180.0	0.0	0.0	62195.0
HMP.2.206726_R1	1.0	0.01	4.0	0.0	99.99	62228.0	0.0	0.0	62233.0
HMP.2.206727_R1	2.0	0.01	8.0	0.0	99.98	64317.0	0.0	0.0	64327.0
HMP.2.206728_R1	0.0	0.01	6.0	0.0	99.99	64519.0	0.0	0.0	64525.0
HMP.2.206729_R1	0.0	0.01	5.0	0.0	99.99	39135.0	0.0	0.0	39140.0
HMP.2.206730_R1	2.0	0.02	4.0	0.0	99.97	19790.0	0.0	0.01	19796.0
HMP.2.206731_R1	0.0	0.01	5.0	0.0	99.99	57662.0	0.0	0.0	57667.0
HMP.2.206732_R1	2.0	0.02	9.0	0.0	99.98	55039.0	0.0	0.0	55050.0
HMP.2.206733_R1	1.0	0.02	11.0	0.0	99.98	65801.0	0.0	0.0	65813.0
HMP.2.206734_R1	0.0	0.01	6.0	0.0	99.99	71691.0	0.0	0.0	71697.0
HMP.2.206738_R1	0.0	0.02	7.0	0.0	99.98	40817.0	0.0	0.0	40824.0
HMP.2.206739_R1	0.0	0.01	8.0	0.0	99.99	62679.0	0.0	0.0	62687.0
HMP.2.206740_R1	1.0	0.01	3.0	0.0	99.99	38358.0	0.0	0.0	38362.0
HMP.2.206741_R1	0.0	0.01	7.0	0.0	99.99	54420.0	0.0	0.0	54427.0
HMP.2.206742_R1	1.0	0.01	4.0	0.0	99.99	64146.0	0.0	0.0	64151.0
HMP.2.206743_R1	0.0	0.0	0.0	0.0	100.0	54240.0	0.0	0.0	54240.0
HMP.2.206746_R1	0.0	0.01	6.0	0.0	99.99	56775.0	0.0	0.0	56781.0
HMP.2.206747_R1	0.0	0.0	2.0	0.0	100.0	42828.0	0.0	0.0	42830.0
HMP.2.206750_R1	0.0	0.02	17.0	0.0	99.98	70352.0	0.0	0.0	70369.0
HMP.2.206751_R1	1.0	0.0	2.0	0.0	100.0	64615.0	0.0	0.0	64618.0
HMP.2.206752_R1	0.0	0.02	15.0	0.0	99.98	64924.0	0.0	0.0	64939.0
HMP.2.206753_R1	1.0	0.02	11.0	0.0	99.98	65058.0	0.0	0.0	65070.0
HMP.2.206754_R1	0.0	0.01	8.0	0.0	99.99	57538.0	0.0	0.0	57546.0
HMP.2.206755_R1	0.0	0.01	8.0	0.0	99.99	69004.0	0.0	0.0	69012.0
HMP.2.206756_R1	0.0	0.01	7.0	0.0	99.99	59252.0	0.0	0.0	59259.0
HMP.2.206757_R1	1.0	0.01	7.0	0.0	99.99	66923.0	0.0	0.0	66931.0
HMP.2.206758_R1	0.0	0.01	6.0	0.0	99.99	70971.0	0.0	0.0	70977.0
HMP.2.206761_R1	2.0	0.01	4.0	0.0	99.99	58291.0	0.0	0.0	58297.0
HMP.2.206762_R1	0.0	0.02	9.0	0.0	99.98	40194.0	0.0	0.0	40203.0
HMP.2.206766_R1	0.0	0.01	8.0	0.0	99.99	60868.0	0.0	0.0	60876.0
HMP.2.206767_R1	0.0	0.03	10.0	0.0	99.97	31339.0	0.0	0.0	31349.0
HMP.2.206768_R1	0.0	0.02	2.0	0.0	99.98	12571.0	0.0	0.0	12573.0
HMP.2.206769_R1	0.0	0.01	1.0	0.0	99.99	8596.0	0.0	0.0	8597.0
HMP.2.206770_R1	0.0	0.01	6.0	0.0	99.99	62952.0	0.0	0.0	62958.0
HMP.2.214994_R1	1.0	0.01	3.0	0.0	99.99	35339.0	0.0	0.0	35343.0
HMP.2.214995_R1	0.0	0.01	6.0	0.0	99.99	43253.0	0.0	0.0	43259.0
HMP.2.215003_R1	0.0	0.02	3.0	0.0	99.98	14147.0	0.0	0.0	14150.0
HMP.2.215004_R1	0.0	0.04	3.0	0.0	99.96	7996.0	0.0	0.0	7999.0
HMP.2.215007_R1	1.0	0.06	23.0	0.0	99.94	41251.0	0.0	0.0	41275.0
HMP.2.215008_R1	0.0	0.01	2.0	0.0	99.99	21618.0	0.0	0.0	21620.0
HMP.2.215009_R1	1.0	0.01	7.0	0.0	99.98	51126.0	0.0	0.0	51134.0
HMP.2.215010_R1	0.0	0.03	11.0	0.0	99.97	42822.0	0.0	0.0	42833.0
HMP.2.215023_R1	4.0	0.03	19.0	6.0	99.95	60673.0	0.01	0.01	60702.0
HMP.2.215048_R1	0.0	0.01	3.0	0.0	99.99	24605.0	0.0	0.0	24608.0
HMP.2.215049_R1	0.0	0.12	3.0	0.0	99.88	2522.0	0.0	0.0	2525.0
HMP.2.215050_R1	1.0	0.02	12.0	0.0	99.98	54487.0	0.0	0.0	54500.0
HMP.2.215055_R1	0.0	0.03	12.0	0.0	99.97	43795.0	0.0	0.0	43807.0
HMP.2.215056_R1	0.0	0.03	10.0	0.0	99.97	36945.0	0.0	0.0	36955.0
HMP.2.215057_R1	0.0	0.01	3.0	0.0	99.99	58950.0	0.0	0.0	58953.0
HMP.2.215058_R1	1.0	0.0	1.0	0.0	99.99	34377.0	0.0	0.0	34379.0
HMP.2.215061_R1	0.0	0.01	4.0	0.0	99.99	32152.0	0.0	0.0	32156.0
HMP.2.215062_R1	0.0	0.02	7.0	0.0	99.98	28801.0	0.0	0.0	28808.0
HMP.2.215067_R1	1.0	0.02	8.0	0.0	99.98	51037.0	0.0	0.0	51046.0
HMP.2.215074_R1	0.0	0.03	5.0	0.0	99.97	17838.0	0.0	0.0	17843.0
HMP.2.215075_R1	0.0	0.01	3.0	0.0	99.99	47142.0	0.0	0.0	47145.0
HMP.2.215076_R1	0.0	0.0	2.0	0.0	100.0	41344.0	0.0	0.0	41346.0
