Length	Count
192.0	7
202.0	16
212.0	5
222.0	9
232.0	12
242.0	47
252.0	12811
262.0	0
272.0	1
282.0	5
292.0	0
302.0	3
312.0	0
322.0	4
332.0	0
342.0	3
352.0	0
362.0	0
372.0	0
382.0	0
392.0	0
402.0	0
412.0	4
422.0	4
432.0	0
442.0	0
452.0	0
462.0	0
472.0	0
482.0	4
492.0	0
--

Length	Count
193.0	10
203.0	10
213.0	5
223.0	5
233.0	10
243.0	279
253.0	3993
263.0	1
273.0	1
283.0	1
293.0	2
303.0	2
313.0	0
323.0	1
333.0	1
343.0	1
353.0	3
363.0	1
373.0	0
383.0	0
393.0	0
403.0	4
413.0	0
423.0	0
433.0	0
443.0	1
453.0	0
463.0	0
473.0	0
483.0	3
493.0	0
--

Length	Count
198.0	3
208.0	1
218.0	2
228.0	4
238.0	10
248.0	3099
258.0	0
268.0	1
278.0	1
288.0	1
298.0	0
308.0	2
318.0	0
328.0	1
338.0	0
348.0	0
358.0	0
368.0	0
378.0	0
388.0	0
398.0	0
408.0	0
418.0	7
428.0	0
--

Length	Count
193.0	4
203.0	10
213.0	4
223.0	4
233.0	2
243.0	590
253.0	5580
263.0	0
273.0	0
283.0	3
293.0	0
303.0	0
313.0	0
323.0	1
333.0	0
343.0	0
353.0	0
363.0	0
373.0	0
383.0	0
393.0	0
403.0	0
413.0	0
423.0	0
433.0	0
443.0	0
453.0	0
463.0	0
473.0	0
483.0	4
493.0	0
--

Length	Count
241.0	2
251.0	187
261.0	0
--

Length	Count
201.0	11
211.0	1
221.0	1
231.0	2
241.0	10
251.0	3033
261.0	0
--

Length	Count
252.0	84
262.0	0
--

Length	Count
197.0	34
207.0	26
217.0	8
227.0	5
237.0	58
247.0	13694
257.0	0
267.0	0
277.0	1
287.0	2
297.0	0
307.0	1
317.0	2
327.0	0
337.0	2
347.0	0
357.0	0
367.0	0
377.0	0
387.0	0
397.0	0
407.0	0
417.0	2
427.0	0
437.0	0
447.0	0
457.0	0
467.0	0
477.0	0
487.0	4
--

Length	Count
211.0	3
221.0	0
231.0	1
241.0	1
251.0	172
261.0	1
271.0	0
--

Length	Count
199.0	6
209.0	1
219.0	2
229.0	0
239.0	6
249.0	1753
259.0	1
269.0	0
279.0	0
289.0	0
299.0	0
309.0	0
319.0	0
329.0	0
339.0	0
349.0	0
359.0	0
369.0	0
379.0	0
389.0	0
399.0	0
409.0	0
419.0	0
429.0	0
439.0	0
449.0	0
459.0	0
469.0	0
479.0	1
489.0	0
--

Length	Count
211.0	3
221.0	0
231.0	0
241.0	1
251.0	507
261.0	0
271.0	0
281.0	0
291.0	0
301.0	0
311.0	0
321.0	0
331.0	0
341.0	0
351.0	0
361.0	0
371.0	0
381.0	0
391.0	0
401.0	1
411.0	0
--

Length	Count
208.0	2
218.0	0
228.0	0
238.0	1
248.0	565
258.0	1
268.0	0
--

Length	Count
191.0	3
201.0	8
211.0	2
221.0	1
231.0	4
241.0	9
251.0	3511
261.0	0
271.0	0
281.0	2
291.0	1
301.0	1
311.0	0
321.0	1
331.0	0
341.0	0
351.0	1
361.0	0
--

Length	Count
198.0	3
208.0	4
218.0	0
228.0	3
238.0	0
248.0	832
258.0	0
268.0	0
278.0	0
288.0	0
298.0	0
308.0	0
318.0	0
328.0	1
338.0	0
--

Length	Count
252.0	103
262.0	0
--

Length	Count
193.0	16
203.0	43
213.0	12
223.0	17
233.0	8
243.0	1394
253.0	13906
263.0	3
273.0	0
283.0	8
293.0	0
303.0	0
313.0	0
323.0	8
333.0	0
343.0	1
353.0	2
363.0	2
373.0	1
383.0	0
393.0	0
403.0	14
413.0	0
423.0	12
433.0	0
443.0	2
453.0	0
463.0	0
473.0	0
483.0	8
493.0	0
--

Length	Count
197.0	15
207.0	18
217.0	11
227.0	9
237.0	11
247.0	10078
257.0	3
267.0	2
277.0	1
287.0	7
297.0	0
307.0	3
317.0	3
327.0	4
337.0	2
347.0	4
357.0	1
367.0	0
377.0	1
387.0	0
397.0	2
407.0	8
417.0	1
427.0	0
437.0	0
447.0	0
457.0	0
467.0	0
477.0	0
487.0	7
--

Length	Count
200.0	2
210.0	3
220.0	0
230.0	0
240.0	2
250.0	1167
260.0	0
270.0	0
280.0	0
290.0	0
300.0	0
310.0	0
320.0	0
330.0	0
340.0	0
350.0	0
360.0	0
370.0	0
380.0	0
390.0	0
400.0	0
410.0	0
420.0	0
430.0	0
440.0	0
450.0	0
460.0	0
470.0	0
480.0	1
490.0	0
--

Length	Count
193.0	33
203.0	49
213.0	18
223.0	19
233.0	26
243.0	2114
253.0	48911
263.0	2
273.0	1
283.0	13
293.0	2
303.0	7
313.0	0
323.0	6
333.0	1
343.0	3
353.0	0
363.0	1
373.0	1
383.0	0
393.0	0
403.0	1
413.0	0
423.0	0
433.0	0
443.0	1
453.0	0
463.0	0
473.0	0
483.0	10
493.0	0
--

Length	Count
197.0	55
207.0	31
217.0	10
227.0	13
237.0	38
247.0	16251
257.0	0
267.0	0
277.0	1
287.0	3
297.0	0
307.0	3
317.0	3
327.0	3
337.0	1
347.0	1
357.0	0
367.0	3
377.0	2
387.0	0
397.0	0
407.0	1
417.0	9
427.0	0
437.0	0
447.0	0
457.0	0
467.0	0
477.0	0
487.0	7
--

Length	Count
191.0	13
201.0	90
211.0	29
221.0	23
231.0	33
241.0	97
251.0	36241
261.0	1
271.0	6
281.0	7
291.0	6
301.0	3
311.0	3
321.0	20
331.0	0
341.0	13
351.0	0
361.0	0
371.0	0
381.0	0
391.0	0
401.0	0
411.0	2
421.0	0
431.0	0
441.0	1
451.0	0
461.0	0
471.0	0
481.0	17
491.0	0
--

Length	Count
201.0	3
211.0	1
221.0	0
231.0	1
241.0	2
251.0	1498
261.0	0
271.0	1
281.0	3
291.0	0
301.0	0
311.0	0
321.0	1
331.0	0
341.0	0
351.0	0
361.0	0
371.0	0
381.0	0
391.0	0
401.0	0
411.0	0
421.0	2
431.0	0
--

Length	Count
191.0	24
201.0	101
211.0	76
221.0	25
231.0	42
241.0	389
251.0	52814
261.0	2
271.0	5
281.0	22
291.0	8
301.0	7
311.0	10
321.0	15
331.0	4
341.0	3
351.0	2
361.0	0
371.0	2
381.0	0
